country,ISO code,OECD,CIS,NATO,EU,Schengen,Eurozone,ACP Group,CAN,APEC,BSEC,Caricom,EFTA,NAFTA,WTO,continent,region
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Asia,South Asia
Albania,ALB,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Algeria,DZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Africa,Middle East and North Africa
Angola,AGO,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,South America,Latin America and the Caribbean
Armenia,ARM,0,1,0,0,0,0,0,0,0,1,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Australia,AUS,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Oceania,Australia and Oceania
Austria,AUT,1,0,0,1,1,1,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Azerbaijan,AZE,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Europe,"Western, Central, and Eastern Europe"
Bahamas,BHS,0,0,0,0,0,0,1,0,0,0,1,0,0,0,North America,Latin America and the Caribbean
Bahrain,BHR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Africa,Middle East and North Africa
Bangladesh,BGD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Asia,South Asia
Barbados,BRB,0,0,0,0,0,0,1,0,0,0,1,0,0,1,North America,Latin America and the Caribbean
Belarus,BLR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Europe,"Western, Central, and Eastern Europe"
Belgium,BEL,1,0,1,1,1,1,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Belize,BLZ,0,0,0,0,0,0,1,0,0,0,1,0,0,1,North America,Latin America and the Caribbean
Benin,BEN,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Bhutan,BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia,South Asia
Bolivia,BOL,0,0,0,0,0,0,0,1,0,0,0,0,0,1,South America,Latin America and the Caribbean
Bosnia and Herzegovina,BIH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,"Western, Central, and Eastern Europe"
Botswana,BWA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Brazil,BRA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,South America,Latin America and the Caribbean
Brunei Darussalam,BRN,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Asia,
Bulgaria,BGR,0,0,1,1,0,0,0,0,0,1,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Burkina Faso,BFA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Burundi,BDI,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Cabo Verde,CPV,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
